inm series,abbreviation,lum file SMILES,inm corrected SMILES,lum file,population,,
377,NBOC2,,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,,,,
378,N(BOC)2,,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,,,,
379,,,,,,,
380,BOC2N,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,503,1,,
381,(BOC)2N,,*N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,,,,
382,,,,,,,
383,B(OH)2,*B(O)O,*B(O)O,23,77,,
384,(HO)2B,*OBO,*B(O)O,82,19,,
385,(OH)2B,*OBO,*B(O)O,429,1,,
386,,,,,,,
387,Piv,,*C(=O)C(C)(C)C,,,pivaloyl,
388,,,,,,,
389,Tf,,*S(=O)(=O)C(F)(F)F,,,trifluoromethanesulfony,
390,,,,,,,
391,Bz,*C(=O)C1=CC=CC=C1,*C(=O)C1=CC=CC=C1,122,11,benzoyl,
392,,,,,,,
393,Ms,*S(C)(=O)=O,*S(=O)(=O)C,204,5,methanesulfonyl,
394,,,,,,,
395,Ts,*S(=O)(=O)C1=CC=C(C)C=C1,*S(=O)(=O)C1=CC=C(C)C=C1,66,26,toluenesulfonyl,
396,Tos,*S(=O)(=O)C1=CC=C(C)C=C1,*S(=O)(=O)C1=CC=C(C)C=C1,154,7,,
397,,,,,,,
398,Trt,*1=*C=CC=C1,*C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,106,13,triphenylmethyl,
399,Tr,,*C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,,,triphenylmethyl,
400,,,,,,,
401,Cbz,*C(=O)OCC1=CC=CC=C1,*C(=O)OCC1=CC=CC=C1,49,37,carbobenzyloxy,
402,,,,,,,
403,Fmoc,*C(*)=O,*CC(=O)OCC1C3C(C2C1C=CC=C2)C=CC=C3,100,14,fluorenylmethoxycarbonyl,
404,,,,,,,
405,PMB,*CC1=CC=C(OC)C=C1,*CC1=CC=C(OC)C=C1,56,33,p-methoxybenzyl,
406,,,,,,,
407,OPiv,*OC(=O)C(C)(C)C,*OC(=O)C(C)(C)C,135,9,,
408,PivO,,*OC(=O)C(C)(C)C,,,,
409,,,,,,,
410,OTf,*OS(=O)(=O)C(F)(F)F,*OS(=O)(=O)C(F)(F)F,127,10,,
411,TfO,*OS(=O)(=O)C(F)(F)F,*OS(=O)(=O)C(F)(F)F,552,1,,
412,,,,,,,
413,OBz,*OC(=O)C1=CC=CC=C1,*OC(=O)C1=CC=CC=C1,145,8,,
414,BzO,*OC(=O)C1=CC=CC=C1,*OC(=O)C1=CC=CC=C1,516,1,,
415,,,,,,,
416,OMs,*OS(C)(=O)=O,*OS(=O)(=O)C,131,10,,
417,MsO,*OS(=O)(=O)C,*OS(=O)(=O)C,507,1,,
418,,,,,,,
419,OTs,*OS(=O)(=O)C1=CC=C(C)C=C1,*OS(=O)(=O)C1=CC=C(C)C=C1,123,11,,
420,TsO,,*OS(=O)(=O)C1=CC=C(C)C=C1,,,,
421,OTos,*OS(=O)(=O)C1=CC=C(C)C=C1,*OS(=O)(=O)C1=CC=C(C)C=C1,176,5,,
422,TosO,,*OS(=O)(=O)C1=CC=C(C)C=C1,,,,
423,,,,,,,
424,OPMB,*OCC1=CC=C(OC)C=C1,*OCC1=CC=C(OC)C=C1,132,10,,
425,PMBO,*OCC1=CC=C(OC)C=C1,*OCC1=CC=C(OC)C=C1,298,2,,
426,,,,,,,
427,CONH2,*C(N)=O,*C(=O)N,63,27,,
428,H2NOC,*NC=O,*C(=O)N,101,14,,
429,,,,,,,
